,ac_number,constituency,region,reserved,winner_party_2021,winner_share_2021,margin_pct_2021,winner_party_2026,winner_share_2026,margin_pct_2026,total_votes,num_candidates,flipped,share_delta,margin_delta
165,166,Thiruthuraipundi,Delta,SC,CPI,52.23,16.18,CPI,38.77,6.76,191030,10,False,-13.46,-9.42
166,167,Mannargudi,Delta,GEN,DMK,45.11,19.35,AMMK,35.25,0.81,194100,16,True,-9.86,-18.54
167,168,Thiruvarur,Delta,GEN,DMK,52.29,24.57,DMK,42.87,8.33,217875,9,False,-9.42,-16.24
168,169,Nannilam,Delta,GEN,AIADMK,46.7,1.99,AIADMK,44.7,18.03,231444,15,False,-2.0,16.04
169,170,Thiruvidamarudur,Delta,SC,DMK,48.26,5.38,DMK,38.26,6.76,208944,15,False,-10.0,1.38
170,171,Kumbakonam,Delta,GEN,DMK,48.62,10.82,TVK,37.76,0.33,208288,14,True,-10.86,-10.49
171,172,Papanasam,Delta,GEN,DMK,43.95,8.26,IUML,33.35,0.51,207723,14,True,-10.6,-7.75
172,173,Thiruvaiyaru,Delta,GEN,DMK,48.82,25.37,DMK,36.21,3.85,222111,14,False,-12.61,-21.52
173,174,Thanjavur,Delta,GEN,DMK,53.25,24.2,TVK,44.12,8.53,198798,12,True,-9.13,-15.67
174,175,Orathanad,Delta,GEN,AIADMK,46.95,15.03,DMK,44.42,17.94,195304,10,True,-2.53,2.91
175,176,Pattukkottai,Delta,GEN,DMK,44.62,14.26,DMK,35.9,7.49,183745,12,False,-8.72,-6.77
176,177,Peravurani,Delta,GEN,DMK,52.17,13.76,DMK,34.56,1.79,176274,11,False,-17.61,-11.97
177,178,Gandharvakottai,Delta,SC,CPI(M),44.23,8.07,TVK,35.08,6.59,167618,11,True,-9.15,-1.48
178,179,Viralimalai,Delta,GEN,AIADMK,52.83,12.2,AIADMK,51.87,30.44,203921,27,False,-0.96,18.24
179,180,Pudukkottai,Delta,GEN,DMK,47.7,7.23,DMK,35.1,0.98,190378,31,False,-12.6,-6.25
